time ratios,discharge ratios,mass curve rations
0,0,0
0.1,0.03,0.001
0.2,0.1,0.006
0.3,0.19,0.017
0.4,0.31,0.035
0.5,0.47,0.065
0.6,0.66,0.107
0.7,0.82,0.163
0.8,0.93,0.228
0.9,0.99,0.3
1,1,0.375
1.1,0.99,0.45
1.2,0.93,0.522
1.3,0.86,0.589
1.4,0.78,0.65
1.5,0.68,0.705
1.6,0.56,0.751
1.7,0.46,0.79
1.8,0.39,0.822
1.9,0.33,0.849
2,0.28,0.871
2.1,,
2.2,0.207,0.908
2.3,,
2.4,0.147,0.934
2.5,,
2.6,0.107,0.953
2.7,,
2.8,0.077,0.967
2.9,,
3,0.055,0.977
3.1,,
3.2,0.04,0.984
3.3,,
3.4,0.029,0.989
3.5,,
3.6,0.021,0.993
3.7,,
3.8,0.015,0.995
3.9,,
4,0.011,0.997
4.1,,
4.2,,
4.3,,
4.4,,
4.5,0.005,0.999
4.6,,
4.7,,
4.8,,
4.9,,
5,0,1